21.04.2015                                                                                                  Dynamic List Display                                                                                                          1
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  ELTUID                   |OBJVERS|DEFTP|SUBDEFTP|REUSABLE|ISCELL|DEFAULTTEXT|MAPNAME                       |SOURCE_ELTUID|DEFAULTHINT|DEFAULTHINTFLAG|TXTSH               |TXTLG                                                       |
|  4MV10IXZ6PM4DVJ2E99SHGY2X|A      |REP  |REP     |X       |      |           |Z_ZM00082_Q002                |             |           |               |                    |LVE Supplier Delivery Performance Details                   |
|  4MV3PE7F9D8MVSMRZD7W0OBRD|A      |REP  |REP     |X       |      |           |Z_ZM00069_Q003                |             |           |               |                    |Profitability Detail with Service Costs                     |
|  4N6RBT146YRGQIQMB2YARZT6X|A      |REP  |REP     |X       |      |           |ZM00065_Q002                  |             |           |               |                    |GCG Sales Revenue Report - Monthly                          |
|  4NHUYJ0Y73DLN611602BG0DQC|A      |REP  |        |X       |      |           |Z_ZM00085_Q001                |             |           |               |                    |CRM Service Orders and Confirmations Query                  |
|  4NNBI9S4F5ISUJHEQK16SGUBO|A      |REP  |REP     |X       |      |           |Z_ZM00086_Q002                |             |           |               |                    |Variable Opportunity to Rate Audit Report-Kodak Confidential|
|  4NOP2CVNVHTOALI193GAZR5VO|A      |REP  |REP     |X       |      |           |Z_ZM000010_Q011               |             |           |               |                    |A/R Actuals versus Plan/Estimate                            |
|  4NQW7SGYFWIVJ2VH0XT3UAR2C|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q012                |             |           |               |                    |LVE On Time Delivery for Customer Installed Orders Details  |
|  4NRN163VYGS1I63CW8FOS98XW|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q011                |             |           |               |                    |LVE On Time Delivery for Customer Installed Orders          |
|  4NVAAP1GYWSNNOSR2W2FFR5VO|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q009                |             |           |               |                    |LVE On Time In Full                                         |
|  4NVPNLQZZ0WM3LZMYMZQIQGSK|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q010                |             |           |               |                    |LVE On Time In Full Details                                 |
|  4NYR0614ZJJK586GPNFMPE1S4|A      |REP  |        |X       |      |           |Z_ZM00060_Q006                |             |           |               |                    |Inventory Actuals versus Plan/Estimate                      |
|  4NZAVBKL1230M1WKJQB52RW5G|A      |REP  |REP     |X       |      |           |Z_ZM00078_Q003                |             |           |               |                    |Waterfall Report From PCA Data                              |
|  4O3HKVICVZ15BS3CMUPJN85MS|A      |REP  |        |X       |      |           |Z_ZM00060_Q007                |             |           |               |                    |Balance Sheet Actuals vs. Plan/Estimate                     |
|  4O9Q8M8XL0MEB41NSK25GTNR8|A      |REP  |        |X       |      |           |Z_ZM00060_Q008                |             |           |               |                    |DSI Trending in USD                                         |
|  4OTJB3666RF9Y8BP75W1LK8LG|A      |REP  |        |X       |      |           |Z_ZM00060_Q009                |             |           |               |                    |One month DSI in USD                                        |
|  4OWIB4PYXSW62SPF58DU2JYX0|A      |REP  |        |X       |      |           |Z_ZM00060_Q010                |             |           |               |                    |One month DSI in Local                                      |
|  4P1O78R1IKJPZUT5D478B724K|A      |REP  |        |X       |      |           |Z_ZM00076_Q026_DR_Q12012      |             |           |               |                    |Revenue Attainment Report 2012 JAN - DEC Revenue Details    |
|  4PD0V0W7KEQWKGXD36WTH118O|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q010                |             |           |               |                    |Global Waterfall Report                                     |
|  4PFGOIK6NEAF0NOEV5FIYN1JC|A      |REP  |        |X       |      |           |Z_ZM00060_Q012                |             |           |               |                    |Balance Sheet 5 Year Plan                                   |
|  4PIF8J1ZRRSPTVH26I11XONEW|A      |REP  |        |X       |      |           |Z_ZM00025_Q025                |             |           |               |                    |Basic Margin - KPA - 5 Year Plan                            |
|  4PIFT0VXDGHVGCS88OQ7ZVFYG|A      |REP  |        |X       |      |           |Z_ZM00025_Q024                |             |           |               |                    |P&L Managerial 5 Year Plan                                  |
|  4PTHKZTLXETI0C3PJGMXVX01Y|A      |REP  |        |X       |      |           |Z_ZM00025_Q026                |             |           |               |                    |P&L Managerial 5 Year Plan Compare in USD                   |
|  4Q1QHS3FZVW5MZK9EJ08I61ZA|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q013                |             |           |               |                    |LVE Initial Customer Committed SOI vs Actual SOI            |
|  4Q1QI24GR28GYEYD0S29MQDMU|A      |REP  |REP     |X       |      |           |Z_ZM00079_Q014                |             |           |               |                    |LVE Initial Customer Committed SOI vs Actual SOI Details    |
|  4Q7CHMG38B6100WO4EQGDI746|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q012                |             |           |               |                    |Global Invoice Detail                                       |
|  4Q98TRP37TZGQMD3BZCQXVQME|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q017                |             |           |               |                    |Global Comparative By Day Timeframes                        |
|  4Q9E1AHNGXJSX3KL5CZ8DPB46|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q011                |             |           |               |                    |Global Material Classification - GCG Waterfall Analysis     |
|  4Q9EQJ0M5P7XZ3Y7BDVLM1G1Y|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q013                |             |           |               |                    |Global Historical Sales By Month                            |
|  4Q9ESK7ATE22FV96WU6LER7NQ|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q014                |             |           |               |                    |Global Comparative With Standard Timeframes                 |
|  4Q9ETHHKZC4N5JJ874BSZ9ND2|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q015                |             |           |               |                    |Global Comparative With Base and Reporting Timeframes       |
|  4Q9EUVUDA6FX9B16G7OAW58CM|A      |REP  |REP     |X       |      |           |Z_ZM00007_Q016                |             |           |               |                    |EAMER Material Classification - WEEE                        |
|  4QA83K3HWOQKU6JMFO4UEBKAU|A      |REP  |REP     |X       |      |           |Z_ZM00088_Q001                |             |           |               |                    |SEM Regional Forecast Accuracy Graph                        |
|  4QA9MND5BFBLR07WTM6V3MB9I|A      |REP  |REP     |X       |      |           |Z_ZM00088_Q002                |             |           |               |                    |SEM Regional Waterfall Analysis                             |
|  4QNVF15IZ3A1GNCY2XCFZ2NBA|A      |REP  |        |X       |      |           |Z_ZM00057_Q005                |             |           |               |                    |Daily Cash Summary Report ($K)                              |
|  4QQML67HPCDDICN63C561HV9I|A      |REP  |REP     |X       |      |           |Z_ZM00085_Q003                |             |           |               |                    |CRM Service Order KPI Report                                |
|  4QQRZFROMFKAV0HXKGTKPO3NQ|A      |REP  |REP     |X       |      |           |Z_ZM00085_Q002                |             |           |               |                    |CRM Service Orders and Confirmations (PM Report)            |
|  4QTGYK4YQYHUK90KYJODK3ATI|A      |REP  |        |X       |      |           |Z_ZM00057_Q006                |             |           |               |                    |Daily Cash Detail Report ($K)                               |
|  4R1SRA7TUUEN350CXO5LNY3K6|A      |REP  |REP     |X       |      |           |Z_ZM00089_Q001_WEBI           |             |           |               |                    |AR Age Analysis History (history by customer)               |
|  4RA0NZVIUCZ7Y9HXFLLE8FDE1|A      |REP  |REP     |X       |      |           |Z_ZM00089_Q002_WEBI           |             |           |               |                    |AR Aging Summary by Payer                                   |
|  4RL5LUR29BGSHOMU1L4OE15S9|A      |REP  |        |X       |      |           |Z_ZM00090_Q001                |             |           |               |                    |Slow Moving Inventory Query                                 |
|  4RVCJWGC3JC7A25BLSYTKPLL5|A      |REP  |        |X       |      |           |Z_ZM00090_Q003                |             |           |               |                    |Slow Moving Inventory - SMI Buckets Filter list             |
|  4RWB4V1P84KYW229FT1IYO9S9|A      |REP  |REP     |X       |      |           |Z_ZM00085_Q004                |             |           |               |                    |CRM Service History Advanced Query                          |
|  4SA7YW9GD0NFY3MWJ51NFCOEH|A      |REP  |REP     |X       |      |           |Z_ZM00069_Q004                |             |           |               |                    |Daily Sales Actual Drill Down (Z_ZM00069_Q004)              |
|  4SHFT3P7R9JRTMK2KE722PBPL|A      |REP  |REP     |X       |      |           |Z_ZM00066_Q002                |             |           |               |                    |BOLT Cycle Time: Rev Rec'd Orders                           |
|  4SL1DJ0SJKG9HIF8WJRCXSZ2H|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q052                |             |           |               |                    |Attainment Report 2013 : Annuity Details                    |
|  4SL1DY65XT9L7YS4EUDKROFWP|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q053                |             |           |               |                    |Attainment Report 2013: Equipment Details                   |
|  4SL1G4OVRJ6FMDLC26B3JRBEX|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q055                |             |           |               |                    |Annuity Details                                             |
|  4SL1HVF6M4GTQGFBPPFDNSTXL|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q056                |             |           |               |                    |Equipment Details Report                                    |
|  4SL2JDOP08YVYOAEF6NR8SFIH|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q051                |             |           |               |                    |Attainment Report 2013: Summary                             |
|  4SL2QJ0C7G7PXRTTWD342LF2H|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q054                |             |           |               |                    |Summary Report - 2013                                       |
|  4SLAJZ05RXRGMH9D1NTVRBDS9|A      |REP  |REP     |X       |      |           |Z_ZC00027_Q011                |             |           |               |                    |Daily Inventory Trending                                    |
|  4SMDKW6SD2PEH5E3PA82C3REX|A      |REP  |REP     |X       |      |           |Z_ZM00008_Q010                |             |           |               |                    |Monthly Inventory Trending                                  |
|  4SNWS8N9X7FEOUZJN88MFLQQ1|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q057                |             |           |               |                    |Attainment Report 2013 : Margin Dollars                     |
|  4SOSEC074SXZXFR47BMSD1S3T|A      |REP  |REP     |X       |      |           |Z_ZM00069_Q005                |             |           |               |                    |Detailed Daily Sales                                        |
|  4SQMEM27Z8D6CYXTY9LUAU3YH|A      |REP  |REP     |X       |      |           |Z_ZM00066_Q003                |             |           |               |                    |BOLT Cycle Time: Rev Rec'd Orders (Outliers)                |
|  4STBSCJ6UZOAEPLJ18XCGJ8G9|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q058                |             |           |               |                    |Attainment Report 2013: Summary                             |
|  4STHXOG6R36LWAXKAIGVRJWCP|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q059                |             |           |               |                    |Attainment Report 2015 : Annuity Measure - CIJ              |
|  4STO9HIJAD7V9RX9NTT20791L|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q062                |             |           |               |                    |Summary Report                                              |
|  4STW0NA2NK0GOP6FAESEVT7D5|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q061                |             |           |               |                    |Attainment Report 2015 : Net Basic Margin Dollars - CIJ     |
|  4T2OW2E6XN19U5I1BRODYHMDL|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q063                |             |           |               |                    |Attainment Report 2013: Monthly Measures                    |
|  4T4CBUU3XN67JT13E9VOM9ZEX|A      |REP  |        |X       |      |           |Z_ZM00093_Q001                |             |           |               |                    |Material Master Plant count                                 |
|  4T618G4KQIQV3DK9MA9HJGART|A      |REP  |        |X       |      |           |Z_ZM00092_Q001                |             |           |               |                    |Material Master Sales count                                 |
|  4TFF6EJ1MGS5N85FFAWJGXE2X|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q066                |             |           |               |                    |Attainment Report 2013: Summary                             |
|  4THG6FP1DTLVRTMINSR4KX9C9|A      |REP  |        |X       |      |           |Z_ZM00094_Q001                |             |           |               |                    |Target Cost Factors Audit Query                             |
|  4TIFK3P2TNWV5ZUJAQ08H8OZT|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q065                |             |           |               |                    |Attainment Report 2013: Quarterly Measures                  |
|  4TNW6LP2F5G9BKFD8IFMAKMMH|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q067                |             |           |               |                    |Attainment Report 2013: Monthly Measures                    |
|  4TT70NCJUKJ48F6ZZXZQZITMX|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q068                |             |           |               |                    |Account Summary Report                                      |
|  4UA4CWMSTB3EGL3MQ0I0XYLC9|A      |REP  |REP     |X       |      |           |Z_ZM00066_Q004                |             |           |               |                    |BOLT Cycle Time: In-Process and Rev Rec'd Orders (Mx)       |
|  4UCRWCMVFWRCM8KQ1UZI7NPU1|A      |REP  |REP     |X       |      |           |Z_ZM00066_Q005                |             |           |               |                    |BOLT Cycle Time: In-Process and Rev Rec'd Orders (Tx)       |
|  4UM0D1NKDXZDGEFRQ4KLKFRM1|A      |REP  |        |X       |      |           |Z_ZM00090_Q002                |             |           |               |                    |Slow Moving Inventory - SMI Category Filter list            |
|  4UTBD8P41L7EG4D4TGZH9GJ2H|A      |REP  |REP     |X       |      |           |Z_ZM00096_Q001                |             |           |               |                    |Global Waterfall Report with Planned Revenue                |
|  4V1O6W2ID59UF2U1F77YRZWCP|A      |REP  |REP     |X       |      |           |Z_ZM00097_Q003                |             |           |               |                    |BOLT S&OP Quantity History                                  |
|  4V3GT5QY0E6K8SBQNUIR9XLS9|A      |REP  |REP     |X       |      |           |Z_ZM00097_Q001                |             |           |               |                    |BOLT S&OP Main                                              |
|  4VCZA17RTLBE94SDMB4AD9FVA|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0240               |             |           |               |                    |InfoCube Status: Analysis                                   |
|  4VSBEJFBSO1OXHPPQFQD7K87D|A      |REP  |REP     |X       |      |           |Z_ZM00097_Q002                |             |           |               |                    |BOLT S&OP OTC                                               |
|  4WKPJC523FZHNYRHYNWASM3YH|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q070                |             |           |               |                    |Attainment Report 2015 : Annuity Measures                   |
|  4WKU3V26HU90U61TQDUE5WOLL|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q075                |             |           |               |                    |Attainment Report: Monthly Measures                         |
|  4WKU4OAINIV4PY2BXSR4FDSP5|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q076                |             |           |               |                    |Attainment Report: Quarterly Measures                       |
|  4WL5P618L560IJ564AUTYIHZD|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q069                |             |           |               |                    |Attainment Report 2015: Summary                             |
|  4WM3H1ESY0VL7SWZC9ER4985L|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q074                |             |           |               |                    |Summary Report - Net New Business - 2014                    |
|  4WME6PKHTY5ZFXFEIMZX0UG7D|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q071                |             |           |               |                    |Attainment Report 2015: Equipment Measures                  |
|  4WME75CWT2SFQ9EMIFT5OVT6X|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q072                |             |           |               |                    |Attainment Report 2014 : Net New Business                   |
|  4WME886WO0JFW7QC0FN8ITBIH|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q073                |             |           |               |                    |Summary Report -Core Plan - 2015                            |
|  4WNM6THRRTPJA9ZCZA884P3EX|A      |REP  |REP     |X       |      |           |Z_ZM00083_Q022                |             |           |               |                    |Performance Summary-Director Report -Kodak-Confidential     |
|  4WOHZMHU6B8G179BXGNGA25C9|A      |REP  |REP     |X       |      |           |Z_ZM00083_Q004                |             |           |               |                    |Compensation Payroll Summary - Kodak Confidential           |
|  4WTGFZSI7SVMSASA24PUFH9JD|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q077                |             |           |               |                    |Net New Business Details                                    |
|  4X71QNMXH0WTSZEC4IYC3VC09|A      |REP  |REP     |X       |      |           |Z_ZM00098_Q001                |             |           |               |                    |Service Billing Information                                 |
|  4YQBVI8FUQS2QSRAOAF4OU2RR|A      |REP  |REP     |X       |      |           |Z_ZM00099_Q001                |             |           |               |                    |Daily Net Inventory Trending Chart                          |
|  4ZYYA01IZGGDSS64PZPIRM0ZR|A      |REP  |REP     |X       |      |           |Z_ZM00099_Q002                |             |           |               |                    |Daily Net Inventory Trending Details                        |
|  50T5I6Z2WXIPTADEZH98OVKHZ|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q078                |             |           |               |                    |Attainment Report 2015: Workflow Revenue                    |
|  50T5IRGHH7ERHE8IJNHZI458N|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q079                |             |           |               |                    |Attainment Report 2015: COMBINED MARGIN                     |
|  50T77SQHFLC5L5PRPX6JO0V47|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q080                |             |           |               |                    |Summary Report - Workflow                                   |
|  50TJK7X4LKVX04YSUEWRTDAX3|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q081                |             |           |               |                    |Attainment Report 2015 : EISD Core Plan                     |
|  50TO53FGBSU41LNMAL75LOGAV|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q082                |             |           |               |                    |EISD Details Report                                         |
|  50VYVRE52PQZGDUM1Y82RY1ZB|A      |REP  |REP     |X       |      |           |Z_ZA00003_Q001                |             |           |               |                    |Material target cost entry                                  |
|  50WBZT1KYLOGU68G6O7YFXI87|A      |REP  |REP     |X       |      |           |Z_ZA00001_Q001                |             |           |               |                    |KPA target cost entry                                       |
|  50WC34YGYSKTM1URA0RNELGNB|A      |REP  |REP     |X       |      |           |Z_ZA00002_Q001                |             |           |               |                    |PPL target cost entry                                       |
|  50WC37Y0C90QUTF1JPOFBCYO7|A      |REP  |REP     |X       |      |           |Z_ZA00002_Q002                |             |           |               |                    |list of values for dropdowns in KPA/PPL/Mat entry web templ |
|  50YR8CC4TWHWLIP08A7NAQ1S7|A      |REP  |REP     |X       |      |           |Z_ZM00025_Q027                |             |           |               |                    |Total COGS Report - 3 way compare ($K)                      |
|  515Y9FWF8RPE3R0ILI81BI6PZ|A      |REP  |REP     |X       |      |           |Z_ZM00026_Q004                |             |           |               |                    |list of values for act target cost entry filters            |
|  51FA8ADQ7D6PJR634WM51TX1J|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q083                |             |           |               |                    |Attainment Report 2015 : Quarterly Pacing                   |
|  51FAI0B1ZQ562L6CYJ9J3BFD3|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q084                |             |           |               |                    |Attainment Report 2015 : First Half Booking                 |
|  51GVWA8ZXDGOJLS09Q13PH9XJ|A      |REP  |REP     |X       |      |           |Z_ZM00076_Q085                |             |           |               |                    |Summary Report - Quarterly Pacing                           |
|  55E17PA0AH9T1NDDCI9G6CYQ1|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0133               |             |           |               |                    |Short-Term Trends in Total Runtimes of InfoProviders        |
|  55XWWUNAGKRSNK5JR57YL7WK6|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0131               |             |           |               |                    |DataStore Object Correctness                                |
|  58S4ROJIDATN4DCHYPC5XLHE1|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q012                 |             |           |               |                    |Purchase Order Values per Procurement Card (Detail)         |
|  5DBTXQQTKTTNEC1XI557YW4NR|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0123               |             |           |               |                    |Short-Term Trends in Total Runtimes of BI Application Obj.  |
|  5XFE727K0CXRKE9J277CCQIS6|A      |REP  |REP     |X       |      |           |0TCT_MC22_Q0210               |             |           |               |                    |DTP Statistics: Analysis                                    |
|  5XLUW19JA4XJGFVXS4AWNM2L2|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0220               |             |           |               |                    |Master Data Status: Analysis                                |
|  6NA655ALDA5IXQSUWMQG31GNQ|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0140               |             |           |               |                    |InfoCube Status                                             |
|  76BM1VKJ2R0NEP2TID21GLDW6|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0110               |             |           |               |                    |PSA Table Status                                            |
|  7MND1L6ZDV56LUYBZLP9QSM8N|A      |REP  |REP     |X       |      |           |0TCT_MC23_Q0101               |             |           |               |                    |Total Runtimes of InfoPackages                              |
|  7OG5PP7Z2PPT015TSTSMTI7X3|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0113               |             |           |               |                    |Short-Term Trends in Total Runtimes of BI Applications      |
|  7PTU6IU5PIRHES2YS9OUC13TI|A      |REP  |REP     |X       |      |           |0TCT_MC12_Q0100               |             |           |               |                    |Process Chain Status                                        |
|  81YIIQ02JNW0QXS21BU6AJATM|A      |REP  |REP     |X       |      |           |0SD_C04_Q0005                 |             |           |               |                    |Top 3 Delivery Delay                                        |
|  8OY3VO9CKYZ0Y1T9994HDUJ6G|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0121               |             |           |               |                    |Runtimes of BI Application Objects                          |
|  8QTJ63W5KGQVEE646EDTRAFTJ|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0111               |             |           |               |                    |Runtimes of BI Applications                                 |
|  8RRR7L0TEQN4GNWLSGF1GI26I|A      |REP  |        |X       |      |           |                              |             |           |               |New Query           |Procurement Values per Purchasing Group                     |
|  8SL9ZPENG7HHVY3216ZZFM2A8|A      |REP  |REP     |X       |      |           |0TCT_MC03_Q0202               |             |           |               |                    |Missing Aggregate report for Queries                        |
|  8V94D4H5GBH6D35G83ASI9N62|A      |REP  |REP     |X       |      |           |0SD_C03_Q0014                 |             |           |               |                    |Fulfillment Rate: Values                                    |
|  90CVDM03K7IS7MX11QK3HZ15I|A      |REP  |REP     |X       |      |           |0TCT_MC03_Q0200               |             |           |               |                    |Data Manager Statistics: Analysis                           |
|  94PSPJWO7BAW7JOK6DGE39SPR|A      |REP  |REP     |X       |      |           |0SD_C03_Q004                  |             |           |               |                    |Incoming orders                                             |
|  9C14ZEQ6AMM0I9LP233HXNHJQ|A      |REP  |REP     |X       |      |           |0TCT_MC22_Q0101               |             |           |               |                    |Total Runtimes of DTPs                                      |
|  9NR90F6PL8568S3E2RPFN9ZM2|A      |REP  |        |X       |      |           |                              |             |           |               |New Query           |Prices Achieved per Purchasing Group                        |
|  9WFU7Q5DN1BLPBI81DBQLEFTR|A      |REP  |REP     |X       |      |           |0SD_C03_Q009                  |             |           |               |                    |Order and sales values                                      |
|  9ZFGIELSKNJDALAO7WJRHO23C|A      |REP  |REP     |X       |      |           |0TCT_MC21_Q0210               |             |           |               |                    |Process Statistics: Analysis                                |
|  A1YP8YRCO9WEIRMK3HCUCDVR7|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q013                 |             |           |               |                    |Deadline Montoring - Current Values for Req. Delivery Date  |
|  AJLZERI519XQIMLT3QN8JAIKQ|A      |REP  |REP     |X       |      |           |0SD_C04_Q0007                 |             |           |               |                    |Delivery delay - Overview                                   |
|  BBYCBABIGGLGLYOWRP2OA5ZMG|A      |REP  |REP     |X       |      |           |0TCT_MC21_Q0112               |             |           |               |                    |Deviations in Total Runtimes of Processes                   |
|  BK4NP5SWEOH7ZDKD9ZM9C40WM|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0230               |             |           |               |                    |DataStore Object Status: Analysis                           |
|  BKQOEEZQ4TE297SN746DHI4RC|A      |REP  |REP     |X       |      |           |0TCT_MC23_Q0210               |             |           |               |                    |InfoPackage Statistics: Analysis                            |
|  BMKQ5YNBH9AB11WVQZM654R62|A      |REP  |REP     |X       |      |           |0SD_C04_Q0006                 |             |           |               |                    |Top 10 Customers Delivery Volume                            |
|  BODMNOZ6SHJQ0GZ2F4LFV3QN3|A      |REP  |REP     |X       |      |           |0SD_C03_Q010                  |             |           |               |                    |Order, delivery and sales quantities                        |
|  BSPNTH9QIDAV8YDVYN8R552MU|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0142               |             |           |               |                    |Aggregate Rollup                                            |
|  C15DYTZRF0LR8YM2LN71D4BKV|A      |REP  |REP     |X       |      |           |0SD_C03_Q005                  |             |           |               |                    |Credit memos                                                |
|  CV40AMU7VOUN3LKT31BS2NT0F|A      |REP  |REP     |X       |      |           |0SD_C03_Q011                  |             |           |               |                    |Error-free sales order processing                           |
|  CYR7XENIXSWWXVZKFWMW9RRMF|A      |REP  |REP     |X       |      |           |0TCT_MC22_Q0102               |             |           |               |                    |Deviations in Total Runtimes of DTPs                        |
|  DGPXY84VIVS4YKF02AMXPZY5S|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0433               |             |           |               |                    |Short-Term Trends in Total Runtimes of an InfoProvider      |
|  DLHH5OW04M36XUJQDHPFTAAW0|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q009                 |             |           |               |                    |Delayed Delivery                                            |
|  DPC0KNRVU406KOE2DK10EV2XS|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q007                 |             |           |               |                    |Price Changes                                               |
|  DQYG9GUZ7337EXWCRQR7SHZ8F|A      |REP  |REP     |X       |      |           |0SD_C03_Q006                  |             |           |               |                    |Deliveries                                                  |
|  E1KRLP5VLO1FIFEHTWS2HZXJQ|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0210               |             |           |               |                    |PSA Table Status: Analysis                                  |
|  E96IXILGB93CUBAM61HMC7P8N|A      |REP  |REP     |X       |      |           |0SD_C03_Q0012                 |             |           |               |                    |Sales order material                                        |
|  EHDQHF2LNAG0GCDVA3UCL1ABR|A      |REP  |REP     |X       |      |           |0SD_C04_Q0001                 |             |           |               |                    |Delivery Delays per Sold-to Party                           |
|  EPWWC4KLOIEV44LQVBS25PTAV|A      |REP  |REP     |X       |      |           |0TCT_MC01_Q0323               |             |           |               |                    |Pre-Query: Short-Term Max in Total Runtimes of BI Appl. Obj.|
|  ER6ZBTKH2NEGAU854EF7HOUJA|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0130               |             |           |               |                    |DataStore Object Status                                     |
|  ETEEKZWINYE2RFYC9IKOBO8T2|A      |REP  |REP     |X       |      |           |0TCT_MC11_Q0141               |             |           |               |                    |InfoCube Correctness                                        |
|  EUTN5Z616XVY08BZ0O13UH21S|A      |REP  |REP     |X       |      |           |0BBP_DS1_Q005                 |             |           |               |                    |Excessive Invoices                                          |
|  EVBNBSIDGBCP8BP8LRD8381P3|A      |REP  |REP     |X       |      |           |0TCT_MC21_Q0111               |             |           |               |                    |Total Runtimes of Processes                                 |
|  EWVU4THP59NUHDITF08OO7RM2|A      |REP  |REP     |X       |      |           |0SD_C03_Q012                  |             |           |               |                    |Returns per Customer Top N                                  |
|  EZ0XHRSDDO3MPTN0HRY2ZNR8F|A      |REP  |REP     |X       |      |           |0SD_C03_Q003                  |             |           |               |                    |Returns per customer and month                              |
|  F0LBV3VDQ0CSUIOLAKC8Q48WG|A      |REP  |REP     |X       |      |           |0TCT_MC03_Q0201               |             |           |               |                    |Missing Aggregate report for Infoprovider                   |
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
